tweetId,url,content,likeCount,retweetCount,replyCount,quoteCount,viewCount,createdAt
2033963477765685712,https://x.com/iFixit/status/2033963477765685712,"The new MacBook Neo is the most repairable MacBook we’ve seen in 14 years. Screwed-in battery tray, modular ports, sensible layout, and day-one repair manuals. It’s not perfect, but it’s a real step forward for MacBook repair. Read the full breakdown at the link below.
—
#iFixit #RightoRepair",3974,368,45,46,220429,"March 17, 2026 at 05:47 PM"
2035491410510770591,https://x.com/bp_A16/status/2035491410510770591,"春休みですね🥰

iPhone17e
MacBook NEO

2名様にプレゼント🎁

参加方法👇
① このアカウントをフォロー
② いいね＆リポスト　

〆切　3月25日まで

希望の商品をコメントで当選確率アップ⤴️⤴️ https://t.co/wGp0QNy2j8",317,309,111,4,9903,"March 21, 2026 at 10:59 PM"
2033536721086795861,https://x.com/MKBHD/status/2033536721086795861,"AirPods Max 2
- Same design
- 1.5x stronger noise cancellation
- New amplifiers
- H2 chip, which enables several things, like:
- Live translation, camera remote
- Still $550

https://t.co/stkgdXxHAC

(I hope this puts into perspective how insane Macbook Neo for $499 is lol) https://t.co/5ALJSac0Jl",21239,634,568,221,1834185,"March 16, 2026 at 01:31 PM"
2029216468588782066,https://x.com/gregjoz/status/2029216468588782066,"MacBook Neo is new, exciting, original, and HERE! With a beautiful aluminum design, 13-inch Liquid Retina display, 16 hours of battery life, and the power of Apple silicon, you’ll fly through everyday tasks. It’ll be love at first Mac. https://t.co/7xpClbGKxE",3821,354,117,62,375304,"March 4, 2026 at 03:24 PM"
2034405809690394653,https://x.com/mweinbach/status/2034405809690394653,"Microsoft has the perfect MacBook Neo competitor with the Surface Laptop 13 but it's just a little bit too expensive

If they can get it down to $600, that's your Windows neo competitor. At $899/$999 you're getting to MacBook Air territory and the Air is simply better https://t.co/0dS5QuhxVR",2067,52,149,8,283186,"March 18, 2026 at 11:05 PM"
2034235544243192318,https://x.com/mtgproductionss/status/2034235544243192318,I’ve had the MacBook Neo for one week now and it has been great! Bye bye competitors! https://t.co/9Kjbynf2H6,4487,134,55,7,193004,"March 18, 2026 at 11:48 AM"
2036050352999469124,https://x.com/mtgproductionss/status/2036050352999469124,"Of course the MacBook Neo is going to have compromises, but for the price, it is well worth it. https://t.co/d2wUgGcMCy",2640,55,19,0,71862,"March 23, 2026 at 12:00 PM"
2036070537911550426,https://x.com/4k_isn/status/2036070537911550426,"Macbook Neo Mogged a full fledged Lenovo Pro ultra Whatever Laptop 
https://t.co/EbFbSuC8iN",50,1,7,0,3091,"March 23, 2026 at 01:20 PM"
2035614398719631498,https://x.com/Yanagi__X/status/2035614398719631498,"MacBook Neoを買うなら、MacBook Pro M1で十分だと思う。

·中古で6万円程
·Apple intellgence対応
·tauch bar
·Neoに近い性能（A18Pro&gt;M1） https://t.co/A3dM71yTZY",1578,61,37,60,291479,"March 22, 2026 at 07:07 AM"
2036018679092318298,https://x.com/lafaiel/status/2036018679092318298,"Hardwarecanucks actually did it!

Opening 56 apps
Legion Laptop vs MacBook Neo https://t.co/qjzCDODVpG",4372,189,69,32,681674,"March 23, 2026 at 09:54 AM"
2031627835283284464,https://x.com/kshvbgde/status/2031627835283284464,"Base MacBook Neo, starting at $599 with 8GB of RAM and an A18 Pro chip, can handle almost everything that an 8GB MacBook Air with M-series chips could

&gt;Edit 4K videos
&gt;Full stack development
&gt;Multitasking apps
&gt;3D modelling
&gt;Play Cyberpunk 2077

honestly, remarkable. https://t.co/GF0BuvcWdZ",5222,160,46,14,469162,"March 11, 2026 at 07:06 AM"
2029210330971423014,https://x.com/aShubhamz/status/2029210330971423014,"apple just dropped the macbook neo

- starts at $599
- powered by the a18 pro chip
- 13"" liquid retina display
- 16 hour battery life

now i'm regretting buying the m4 air https://t.co/j3SXx8I577",3091,18,65,10,164039,"March 4, 2026 at 03:00 PM"
2032953406655181273,https://x.com/digitalix/status/2032953406655181273,"MacBook Neo HUGE problem! After extensive testing, I finally found what’s wrong with these. Pinching hinges! https://t.co/Lz989M9h3o",3265,88,176,46,679703,"March 14, 2026 at 10:53 PM"
2032621761129578796,https://x.com/theapplehub/status/2032621761129578796,MacBook Neo vs MacBook Air https://t.co/rUnxl2XRtm,4793,323,59,32,221753,"March 14, 2026 at 12:56 AM"
2029268135837303212,https://x.com/Reuters/status/2029268135837303212,"Apple unveiled the MacBook Neo, a lower-priced laptop starting at $599, as it looks to broaden its reach in a price-sensitive PC market while rivals face a tighter memory chip supply https://t.co/Na7tIzGb1c https://t.co/8ZC3glMlm9",877,131,39,11,182287,"March 4, 2026 at 06:50 PM"
2032915003892809849,https://x.com/DangerousThinkg/status/2032915003892809849,"Microsoft reacts to the MacBook Neo

(A Parody) https://t.co/bo5hzaF8El",4352,452,47,41,176069,"March 14, 2026 at 08:21 PM"
2033075302855741631,https://x.com/dev_maims/status/2033075302855741631,"People buy a MacBook Neo, and all of a sudden they want to work in public places. https://t.co/CI9sDxUFbo",1876,49,78,7,57286,"March 15, 2026 at 06:58 AM"
